User_ID,Age,Education,Occupation,Secondary_Apps,Usage_Frequency,Daily_Usage_Time,Satisfaction,Challenges,Desired_Features,Preferred_Communication,Partner_Priorities,Gender_male,Gender_non-binary,Primary_App_Hinge,Primary_App_OkCupid,Primary_App_Tinder,Primary_App_Unknown,Location_Chennai,Location_Delhi,Location_Hyderabad,Location_Kolkata,Location_Mumbai,Location_Pune,Reason_for_Using_Casual Fun,Reason_for_Using_Finding a Partner,Reason_for_Using_Social Interaction,Active_App_Count
42,0.1428571428571428,Postgraduate,Part-time Job,Tinder,Weekly,0.6000000000000001,2,Safety Concerns,Detailed Profiles,Voice Notes,Values > Personality > Appearance,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,1
43,0.1428571428571428,Graduate,Part-time Job,OkCupid,Weekly,0.6000000000000001,4,Unknown,Location-Based Matching,Voice Notes,Values > Personality > Appearance,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1
44,0.7142857142857144,Postgraduate,Freelancer,Hinge,Weekly,0.6000000000000001,5,Lack of Genuine Matches,Location-Based Matching,Video Calls,Personality > Interests > Values,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,1
45,0.4285714285714288,Undergraduate,Student,Unknown,Daily,0.2,2,Lack of Genuine Matches,AI Recommendations,Text,Values > Personality > Appearance,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,1
46,0.1428571428571428,Graduate,Intern,OkCupid,Weekly,0.6000000000000001,5,Safety Concerns,Audio Calls,Video Calls,Values > Personality > Appearance,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,1
47,0.4285714285714288,Graduate,Intern,Hinge,Daily,0.2,1,Unknown,Video Calls,Video Calls,Values > Personality > Appearance,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,1
48,0.8571428571428572,Undergraduate,Full-time Job,Unknown,Weekly,0.6000000000000001,2,Time-Wasting,Location-Based Matching,Voice Notes,Values > Personality > Appearance,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1
49,0.4285714285714288,Postgraduate,Student,Unknown,Weekly,0.0,3,Lack of Genuine Matches,Location-Based Matching,Voice Notes,Appearance > Interests > Personality,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
50,0.1428571428571428,Postgraduate,Full-time Job,Unknown,Weekly,0.0,2,Unknown,AI Recommendations,Voice Notes,Appearance > Interests > Personality,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
51,0.1428571428571428,Postgraduate,Freelancer,Tinder,Monthly,0.2,5,Unknown,Video Calls,Voice Notes,Personality > Interests > Values,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1
52,1.0,Graduate,Part-time Job,OkCupid,Daily,1.0000000000000002,2,Time-Wasting,Detailed Profiles,Video Calls,Appearance > Interests > Personality,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,1
53,1.0,Graduate,Full-time Job,Tinder,Daily,0.2,2,Lack of Genuine Matches,Location-Based Matching,Video Calls,Appearance > Interests > Personality,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1
54,0.0,Postgraduate,Student,OkCupid,Weekly,1.0000000000000002,5,Safety Concerns,AI Recommendations,Video Calls,Appearance > Interests > Personality,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,1
55,0.5714285714285716,Undergraduate,Freelancer,OkCupid,Monthly,1.0000000000000002,3,Unknown,Location-Based Matching,Voice Notes,Values > Personality > Appearance,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,1
56,0.2857142857142856,Undergraduate,Intern,Hinge,Weekly,0.2,5,Unknown,Video Calls,Video Calls,Appearance > Interests > Personality,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,1
57,0.7142857142857144,Postgraduate,Freelancer,Bumble,Daily,0.2,3,Unknown,Location-Based Matching,Video Calls,Values > Personality > Appearance,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,1
58,0.1428571428571428,Postgraduate,Student,Unknown,Daily,0.6000000000000001,3,Time-Wasting,Location-Based Matching,Video Calls,Personality > Interests > Values,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,1
59,0.1428571428571428,Postgraduate,Student,Bumble,Daily,1.0000000000000002,5,Unknown,AI Recommendations,Voice Notes,Appearance > Interests > Personality,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,1
60,0.5714285714285716,Undergraduate,Full-time Job,Bumble,Monthly,1.0000000000000002,1,Time-Wasting,Video Calls,Video Calls,Values > Personality > Appearance,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,1
61,0.5714285714285716,Undergraduate,Intern,Hinge,Weekly,0.0,4,Safety Concerns,Detailed Profiles,Video Calls,Values > Personality > Appearance,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,1
62,0.8571428571428572,Postgraduate,Freelancer,Hinge,Weekly,0.6000000000000001,3,Unknown,AI Recommendations,Text,Personality > Interests > Values,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1
63,0.4285714285714288,Graduate,Part-time Job,Tinder,Daily,0.2,4,Time-Wasting,AI Recommendations,Text,Personality > Interests > Values,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,1
64,0.2857142857142856,Postgraduate,Intern,OkCupid,Monthly,0.2,5,Time-Wasting,AI Recommendations,Voice Notes,Appearance > Interests > Personality,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,1
65,0.7142857142857144,Graduate,Intern,Bumble,Weekly,0.6000000000000001,4,Safety Concerns,Audio Calls,Video Calls,Personality > Interests > Values,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,1
66,0.5714285714285716,Undergraduate,Part-time Job,OkCupid,Monthly,0.2,5,Safety Concerns,Audio Calls,Video Calls,Values > Personality > Appearance,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1
67,0.0,Postgraduate,Intern,Hinge,Daily,0.6000000000000001,2,Safety Concerns,AI Recommendations,Text,Appearance > Interests > Personality,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,1
68,0.5714285714285716,Graduate,Full-time Job,Unknown,Daily,0.2,1,Unknown,AI Recommendations,Voice Notes,Appearance > Interests > Personality,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1
69,0.8571428571428572,Graduate,Intern,Bumble,Monthly,1.0000000000000002,4,Safety Concerns,Audio Calls,Text,Personality > Interests > Values,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,1
70,0.0,Postgraduate,Intern,Tinder,Daily,1.0000000000000002,2,Safety Concerns,Detailed Profiles,Text,Appearance > Interests > Personality,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
71,0.1428571428571428,Postgraduate,Part-time Job,Hinge,Monthly,0.6000000000000001,4,Safety Concerns,Video Calls,Voice Notes,Values > Personality > Appearance,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
72,0.1428571428571428,Graduate,Intern,OkCupid,Daily,0.6000000000000001,1,Unknown,Audio Calls,Text,Personality > Interests > Values,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1
73,1.0,Postgraduate,Part-time Job,Hinge,Daily,1.0000000000000002,2,Safety Concerns,Audio Calls,Video Calls,Values > Personality > Appearance,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,1
74,1.0,Graduate,Student,OkCupid,Weekly,1.0000000000000002,4,Unknown,Video Calls,Video Calls,Appearance > Interests > Personality,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
75,0.1428571428571428,Undergraduate,Intern,Unknown,Daily,0.0,2,Lack of Genuine Matches,AI Recommendations,Text,Personality > Interests > Values,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,1
76,0.5714285714285716,Undergraduate,Full-time Job,Hinge,Monthly,0.0,3,Lack of Genuine Matches,Location-Based Matching,Video Calls,Values > Personality > Appearance,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,1
77,0.7142857142857144,Postgraduate,Part-time Job,Bumble,Weekly,0.2,4,Lack of Genuine Matches,Location-Based Matching,Voice Notes,Appearance > Interests > Personality,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,1
78,1.0,Postgraduate,Full-time Job,Unknown,Daily,0.2,1,Lack of Genuine Matches,Detailed Profiles,Text,Appearance > Interests > Personality,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,1
79,0.7142857142857144,Postgraduate,Student,Bumble,Monthly,0.2,5,Safety Concerns,Audio Calls,Voice Notes,Appearance > Interests > Personality,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,1
80,0.8571428571428572,Postgraduate,Freelancer,Bumble,Monthly,0.0,5,Time-Wasting,AI Recommendations,Text,Values > Personality > Appearance,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1
81,0.0,Undergraduate,Freelancer,OkCupid,Monthly,0.2,1,Unknown,Detailed Profiles,Video Calls,Appearance > Interests > Personality,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,1
82,0.0,Graduate,Freelancer,Bumble,Daily,0.2,2,Safety Concerns,Audio Calls,Voice Notes,Appearance > Interests > Personality,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,1
83,0.0,Undergraduate,Intern,Bumble,Daily,0.6000000000000001,1,Safety Concerns,Detailed Profiles,Text,Appearance > Interests > Personality,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,1
84,0.5714285714285716,Postgraduate,Part-time Job,Tinder,Weekly,0.2,1,Time-Wasting,Detailed Profiles,Video Calls,Appearance > Interests > Personality,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,1
85,0.0,Undergraduate,Intern,Tinder,Weekly,0.6000000000000001,1,Time-Wasting,Detailed Profiles,Video Calls,Appearance > Interests > Personality,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,1
86,0.2857142857142856,Postgraduate,Student,Unknown,Monthly,0.2,5,Time-Wasting,Detailed Profiles,Voice Notes,Values > Personality > Appearance,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,1
87,0.4285714285714288,Graduate,Freelancer,Hinge,Monthly,1.0000000000000002,5,Time-Wasting,Audio Calls,Voice Notes,Values > Personality > Appearance,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1
88,0.7142857142857144,Graduate,Intern,Unknown,Daily,0.2,2,Time-Wasting,Detailed Profiles,Voice Notes,Appearance > Interests > Personality,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,1
89,0.5714285714285716,Postgraduate,Full-time Job,Hinge,Daily,1.0000000000000002,2,Lack of Genuine Matches,Location-Based Matching,Video Calls,Appearance > Interests > Personality,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,1
90,0.8571428571428572,Graduate,Full-time Job,Hinge,Weekly,1.0000000000000002,5,Unknown,AI Recommendations,Video Calls,Personality > Interests > Values,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,1
91,0.0,Postgraduate,Intern,OkCupid,Daily,0.6000000000000001,4,Time-Wasting,AI Recommendations,Voice Notes,Appearance > Interests > Personality,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,1
92,0.4285714285714288,Undergraduate,Full-time Job,Tinder,Monthly,0.6000000000000001,1,Time-Wasting,AI Recommendations,Voice Notes,Values > Personality > Appearance,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,1
93,0.5714285714285716,Graduate,Full-time Job,OkCupid,Weekly,0.0,2,Lack of Genuine Matches,Video Calls,Voice Notes,Values > Personality > Appearance,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,1
94,0.4285714285714288,Graduate,Part-time Job,Tinder,Monthly,1.0000000000000002,3,Unknown,Detailed Profiles,Text,Values > Personality > Appearance,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,1
95,0.7142857142857144,Undergraduate,Full-time Job,Unknown,Monthly,1.0000000000000002,2,Time-Wasting,Detailed Profiles,Video Calls,Appearance > Interests > Personality,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,1
96,0.2857142857142856,Postgraduate,Student,Tinder,Daily,0.6000000000000001,4,Time-Wasting,Video Calls,Voice Notes,Personality > Interests > Values,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,1
97,0.7142857142857144,Undergraduate,Part-time Job,Bumble,Daily,0.2,5,Time-Wasting,Video Calls,Voice Notes,Values > Personality > Appearance,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,1
98,0.5714285714285716,Graduate,Part-time Job,Unknown,Daily,0.0,1,Lack of Genuine Matches,Location-Based Matching,Video Calls,Personality > Interests > Values,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,1
99,0.2857142857142856,Undergraduate,Freelancer,Hinge,Daily,0.2,2,Unknown,Detailed Profiles,Voice Notes,Personality > Interests > Values,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,1
100,0.2857142857142856,Graduate,Part-time Job,OkCupid,Weekly,1.0000000000000002,3,Lack of Genuine Matches,Location-Based Matching,Video Calls,Personality > Interests > Values,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,1
101,0.1428571428571428,Undergraduate,Freelancer,Bumble,Daily,0.2,4,Lack of Genuine Matches,Audio Calls,Text,Values > Personality > Appearance,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,1
102,0.1428571428571428,Graduate,Student,OkCupid,Weekly,1.0000000000000002,5,Time-Wasting,Video Calls,Video Calls,Appearance > Interests > Personality,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,1
103,1.0,Postgraduate,Part-time Job,Tinder,Monthly,0.0,3,Safety Concerns,Location-Based Matching,Text,Appearance > Interests > Personality,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,1
104,0.2857142857142856,Undergraduate,Freelancer,OkCupid,Monthly,0.2,4,Unknown,Video Calls,Voice Notes,Values > Personality > Appearance,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,1
105,1.0,Undergraduate,Student,Bumble,Monthly,0.2,4,Unknown,Location-Based Matching,Text,Appearance > Interests > Personality,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,1
106,1.0,Graduate,Freelancer,Bumble,Weekly,0.6000000000000001,3,Safety Concerns,Video Calls,Video Calls,Appearance > Interests > Personality,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,1
107,1.0,Graduate,Intern,OkCupid,Daily,0.0,5,Safety Concerns,Location-Based Matching,Text,Appearance > Interests > Personality,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,1
108,0.4285714285714288,Undergraduate,Freelancer,Hinge,Daily,0.2,2,Unknown,Location-Based Matching,Video Calls,Personality > Interests > Values,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,1
109,0.0,Undergraduate,Freelancer,Tinder,Monthly,0.6000000000000001,1,Time-Wasting,Audio Calls,Video Calls,Personality > Interests > Values,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1
110,1.0,Graduate,Freelancer,Tinder,Daily,0.6000000000000001,2,Lack of Genuine Matches,Audio Calls,Video Calls,Personality > Interests > Values,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1
111,0.8571428571428572,Undergraduate,Full-time Job,Tinder,Weekly,0.6000000000000001,2,Safety Concerns,Location-Based Matching,Video Calls,Appearance > Interests > Personality,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1
112,0.0,Undergraduate,Freelancer,OkCupid,Weekly,0.2,4,Lack of Genuine Matches,Detailed Profiles,Text,Values > Personality > Appearance,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,1
113,0.7142857142857144,Undergraduate,Intern,Bumble,Daily,0.2,3,Time-Wasting,Location-Based Matching,Video Calls,Personality > Interests > Values,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,1
114,0.1428571428571428,Postgraduate,Intern,Hinge,Weekly,0.2,1,Time-Wasting,Location-Based Matching,Video Calls,Appearance > Interests > Personality,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,1
115,0.7142857142857144,Graduate,Freelancer,Unknown,Monthly,0.6000000000000001,1,Unknown,Location-Based Matching,Video Calls,Values > Personality > Appearance,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,1
116,0.8571428571428572,Postgraduate,Full-time Job,Tinder,Weekly,0.2,1,Lack of Genuine Matches,Video Calls,Video Calls,Values > Personality > Appearance,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,1
117,0.8571428571428572,Undergraduate,Intern,OkCupid,Daily,0.6000000000000001,3,Lack of Genuine Matches,AI Recommendations,Text,Values > Personality > Appearance,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1
118,1.0,Undergraduate,Freelancer,Tinder,Monthly,0.0,3,Time-Wasting,Detailed Profiles,Voice Notes,Personality > Interests > Values,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,1
119,0.1428571428571428,Postgraduate,Intern,Hinge,Monthly,1.0000000000000002,5,Unknown,Detailed Profiles,Video Calls,Personality > Interests > Values,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,1
120,0.4285714285714288,Postgraduate,Freelancer,Hinge,Monthly,0.6000000000000001,1,Time-Wasting,Location-Based Matching,Voice Notes,Personality > Interests > Values,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,1
121,1.0,Graduate,Student,Unknown,Daily,0.2,4,Safety Concerns,AI Recommendations,Text,Values > Personality > Appearance,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,1
122,0.8571428571428572,Postgraduate,Intern,OkCupid,Monthly,0.0,4,Safety Concerns,Detailed Profiles,Video Calls,Personality > Interests > Values,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,1
123,0.1428571428571428,Graduate,Intern,Bumble,Monthly,0.2,3,Safety Concerns,Detailed Profiles,Video Calls,Values > Personality > Appearance,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1
124,0.2857142857142856,Undergraduate,Intern,Tinder,Monthly,0.6000000000000001,4,Time-Wasting,Location-Based Matching,Text,Appearance > Interests > Personality,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,1
125,0.0,Postgraduate,Freelancer,Tinder,Daily,0.2,3,Time-Wasting,Video Calls,Video Calls,Values > Personality > Appearance,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,1
126,0.4285714285714288,Graduate,Part-time Job,Hinge,Monthly,0.0,5,Safety Concerns,Location-Based Matching,Text,Values > Personality > Appearance,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,1
127,0.5714285714285716,Postgraduate,Student,Unknown,Monthly,1.0000000000000002,3,Safety Concerns,Detailed Profiles,Text,Personality > Interests > Values,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,1
